"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"dram__bytes","Counter","byte","# of bytes accessed in DRAM","1"
"dram__bytes_read","Counter","byte","# of bytes read from DRAM","1"
"dram__bytes_write","Counter","byte","# of bytes written to DRAM","1"
"dram__cycles_active","Counter","cycle","# of cycles where DRAM was active","1"
"dram__cycles_active_read","Counter","cycle","# of cycles where DRAM was active for reads","1"
"dram__cycles_active_write","Counter","cycle","# of cycles where DRAM was active for writes","1"
"dram__cycles_elapsed","Counter","cycle","# of elapsed DRAM memory clock cycles","1"
"dram__cycles_in_frame","Counter","cycle","# of cycles in user-defined frame","1"
"dram__cycles_in_region","Counter","cycle","# of cycles in user-defined region","1"
"dram__sectors","Counter","sector","# of sectors accessed in DRAM","1"
"dram__sectors_read","Counter","sector","# of sectors read from DRAM","1"
"dram__sectors_write","Counter","sector","# of sectors written to DRAM","1"
"dram__throughput","Throughput","%","DRAM throughput","1"
"dramc__sectors","Counter","sector","# of sectors accessed in DRAM","1"
"dramc__sectors_op_read","Counter","sector","# of sectors read from DRAM","1"
"dramc__sectors_op_write","Counter","sector","# of sectors written to DRAM","1"
"fbpa__cycles_active","Counter","cycle","# of cycles where FBPA","1"
"fbpa__cycles_elapsed","Counter","cycle","# of cycles elapsed on FBPA","1"
"fbpa__cycles_in_frame","Counter","cycle","# of cycles in user-defined frame","1"
"fbpa__cycles_in_region","Counter","cycle","# of cycles in user-defined region","1"
"fbpa__dram_cycles_elapsed","Counter","cycle","# of cycles elapsed on DRAM","1"
"fbpa__dram_read_bytes","Counter","byte","# of DRAM read bytes","1"
"fbpa__dram_read_sectors","Counter","sector","# of DRAM read sectors","1"
"fbpa__dram_read_throughput","Throughput","%","FBPA read throughput","1"
"fbpa__dram_sectors","Counter","sector","# of DRAM sectors accessed","1"
"fbpa__dram_write_bytes","Counter","byte","# of DRAM write bytes","1"
"fbpa__dram_write_sectors","Counter","sector","# of DRAM write sectors","1"
"fbpa__dram_write_throughput","Throughput","%","FBPA write throughput","1"
"fbpa__throughput","Throughput","%","FBPA throughput","1"
"fe__cycles_active","Counter","cycle","alias of fe__cycles_elapsed","1"
"fe__cycles_elapsed","Counter","cycle","# of cycles elapsed on FE","1"
"fe__cycles_in_frame","Counter","cycle","# of cycles in user-defined frame","1"
"fe__cycles_in_region","Counter","cycle","# of cycles in user-defined region","1"
"fe__output_ops_cmd_go_idle","Counter","ops","# of GO_IDLE bundles sent from FE to GR","1"
"fe__output_ops_type_bundle_cmd_go_idle","Counter","ops","# of GO_IDLE bundles sent from FE to GR","1"
"gcc__average_cache_request_hit_rate","Ratio","","proportion of GCC requests that hit","1"
"gcc__average_cache_request_type_constant_hit_rate","Ratio","","proportion of GCC requests for constants that hit","1"
"gcc__average_cache_request_type_instruction_hit_rate","Ratio","","proportion of GCC requests for instructions that hit","1"
"gcc__average_cache_request_type_tsheader_hit_rate","Ratio","","proportion of GCC requests for textures/sampler headers that hit","1"
"gcc__cache_requests","Counter","request","# of requests sent to L1.5","1"
"gcc__cache_requests_lookup_hit","Counter","request","# of requests sent to GCC that hit","1"
"gcc__cache_requests_lookup_miss","Counter","request","# of requests sent to L1.5 that missed","1"
"gcc__cache_requests_lookup_miss_tag_hit","Counter","request","# of requests sent to L1.5 with tag-hit but data-miss","1"
"gcc__cache_requests_lookup_miss_tag_miss","Counter","request","# of requests sent to L1.5 with tag-miss and data-miss","1"
"gcc__cache_requests_type_constant","Counter","request","# of constant requests sent to L1.5","1"
"gcc__cache_requests_type_constant_lookup_hit","Counter","request","# of constant requests sent to L1.5 that hit","1"
"gcc__cache_requests_type_constant_lookup_miss","Counter","request","# of constant requests sent to L1.5 that missed","1"
"gcc__cache_requests_type_constant_lookup_miss_tag_hit","Counter","request","# of constant requests sent to L1.5 with tag-hit but data-miss","1"
"gcc__cache_requests_type_constant_lookup_miss_tag_miss","Counter","request","# of constant requests sent to L1.5 with tag-miss and data-miss","1"
"gcc__cache_requests_type_instruction","Counter","request","# of instruction requests sent to L1.5","1"
"gcc__cache_requests_type_instruction_lookup_hit","Counter","request","# of instruction requests sent to L1.5 that hit","1"
"gcc__cache_requests_type_instruction_lookup_miss","Counter","request","# of instruction requests sent to L1.5 that missed","1"
"gcc__cache_requests_type_instruction_lookup_miss_tag_hit","Counter","request","# of instruction requests sent to L1.5 with tag-hit but data-miss","1"
"gcc__cache_requests_type_instruction_lookup_miss_tag_miss","Counter","request","# of instruction requests sent to L1.5 with tag-miss and data-miss","1"
"gcc__cache_requests_type_tsheader","Counter","request","# of texture/sampler header requests sent to L1.5","1"
"gcc__cache_requests_type_tsheader_lookup_hit","Counter","request","# of texture/sampler header requests sent to L1.5 that hit","1"
"gcc__cache_requests_type_tsheader_lookup_miss","Counter","request","# of texture/sampler header requests sent to L1.5 that missed","1"
"gcc__cache_requests_type_tsheader_lookup_miss_tag_hit","Counter","request","# of texture/sampler header requests sent to L1.5 with tag-hit but data-miss","1"
"gcc__cache_requests_type_tsheader_lookup_miss_tag_miss","Counter","request","# of texture/sampler header requests sent to L1.5 with tag-miss and data-miss","1"
"gcc__cycles_active","Counter","cycle","# of cycles where GCC was active","1"
"gcc__cycles_elapsed","Counter","cycle","# of cycles elapsed on GCC","1"
"gcc__cycles_in_frame","Counter","cycle","# of cycles in user-defined frame","1"
"gcc__cycles_in_region","Counter","cycle","# of cycles in user-defined region","1"
"gcc__gcc2xbar_requests_type_constant","Counter","request","# of constant requests sent to L2","1"
"gcc__gcc2xbar_requests_type_instruction","Counter","request","# of instruction requests sent to L2","1"
"gcc__gcc2xbar_requests_type_tsheader","Counter","request","# of texture/sampler header requests sent to L2","1"
"gcc__gcc2xbar_requests_type_tsheader_obj_sampler","Counter","request","# of sampler header requests sent to L2","1"
"gcc__gcc2xbar_requests_type_tsheader_obj_texture","Counter","request","# of texture header requests sent to L2","1"
"gcc__xbar2gcc_sectors","Counter","sector","# of sectors L2 returns to GCC","1"
"gpc__cycles_active","Counter","cycle","# of cycles where GPC was active","1"
"gpc__cycles_elapsed","Counter","cycle","# of cycles elapsed on GPC","1"
"gpc__cycles_in_frame","Counter","cycle","# of cycles in user-defined frame","1"
"gpc__cycles_in_region","Counter","cycle","# of cycles in user-defined region","1"
"gpu__compute_memory_access_throughput","Throughput","%","Compute Memory Pipeline : throughput of internal activity within caches and DRAM","1"
"gpu__compute_memory_access_throughput_internal_activity","Throughput","%","Compute Memory Pipeline : throughput of internal activity within caches and DRAM, internal activity","1"
"gpu__compute_memory_request_throughput","Throughput","%","Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM","1"
"gpu__compute_memory_request_throughput_internal_activity","Throughput","%","Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM, internal activity","1"
"gpu__compute_memory_throughput","Throughput","%","Compute Memory Pipeline Throughput","1"
"gpu__cycles_active","Counter","cycle","# of cycles where GPU was active","1"
