"Identifier","Display Name","Enabled","Filename"
"C2CLink","C2CLink","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\C2CLink.section"
"ComputeWorkloadAnalysis","Compute Workload Analysis","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\ComputeWorkloadAnalysis.section"
"InstructionStats","Instruction Statistics","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\InstructionStatistics.section"
"LaunchStats","Launch Statistics","yes","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\LaunchStatistics.section"
"MemoryWorkloadAnalysis","Memory Workload Analysis","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\MemoryWorkloadAnalysis.section"
"MemoryWorkloadAnalysis_Chart","Memory Workload Analysis Chart","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\MemoryWorkloadAnalysis_Chart.section"
"MemoryWorkloadAnalysis_Tables","Memory Workload Analysis Tables","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\MemoryWorkloadAnalysis_Tables.section"
"NumaAffinity","NUMA Affinity","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\NumaAffinity.section"
"Nvlink","NVLink","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\Nvlink.section"
"Nvlink_Tables","NVLink Tables","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\Nvlink_Tables.section"
"Nvlink_Topology","NVLink Topology","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\Nvlink_Topology.section"
"Occupancy","Occupancy","yes","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\Occupancy.section"
"PmSampling","PM Sampling","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\PmSampling.section"
"PmSampling_WarpStates","PM Sampling: Warp States","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\PmSampling_WarpStates.section"
"SchedulerStats","Scheduler Statistics","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\SchedulerStatistics.section"
"SourceCounters","Source Counters","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\SourceCounters.section"
"SpeedOfLight","GPU Speed Of Light Throughput","yes","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\SpeedOfLight.section"
"SpeedOfLight_HierarchicalDoubleRooflineChart","GPU Speed Of Light Hierarchical Roofline Chart (Double Precision)","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\SpeedOfLight_HierarchicalDoubleRooflineChart.section"
"SpeedOfLight_HierarchicalHalfRooflineChart","GPU Speed Of Light Hierarchical Roofline Chart (Half Precision)","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\SpeedOfLight_HierarchicalHalfRooflineChart.section"
"SpeedOfLight_HierarchicalSingleRooflineChart","GPU Speed Of Light Hierarchical Roofline Chart (Single Precision)","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\SpeedOfLight_HierarchicalSingleRooflineChart.section"
"SpeedOfLight_HierarchicalTensorRooflineChart","GPU Speed Of Light Hierarchical Roofline Chart (Tensor Core)","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\SpeedOfLight_HierarchicalTensorRooflineChart.section"
"SpeedOfLight_RooflineChart","GPU Speed Of Light Roofline Chart (Overview)","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\SpeedOfLight_RooflineChart.section"
"Tile","Tile Statistics","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\Tile.section"
"WarpStateStats","Warp State Statistics","no","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\WarpStateStatistics.section"
"WorkloadDistribution","GPU and Memory Workload Distribution","yes","C:\Users\JaganLakshmipathy\Documents/NVIDIA Nsight Compute/2025.4.1/Sections\WorkloadDistribution.section"
